index,json_file,infer_start,infer_end,infer_seconds,infer_returncode,infer_status,infer_ckpt,infer_csv_in,infer_csv_out
5,online_exam2_11127164_user_2wNteozcl5DKR9DydgB9xQmchhR.json,2025-08-23T13:34:32+08:00,2025-08-23T13:43:43+08:00,550.605,0,success,models/best_model_5.pth,Infer_images/online_exam2_11127164_user_2wNteozcl5DKR9DydgB9xQmchhR/infer.csv,predictions/online_exam2_11127164_user_2wNteozcl5DKR9DydgB9xQmchhR_pred.csv
6,online_exam2_11227151_user_2wNrt7AJhsR854YlJ52LIxOohc4.json,2025-08-23T13:43:43+08:00,2025-08-23T13:46:56+08:00,193.274,0,success,models/best_model_6.pth,Infer_images/online_exam2_11227151_user_2wNrt7AJhsR854YlJ52LIxOohc4/infer.csv,predictions/online_exam2_11227151_user_2wNrt7AJhsR854YlJ52LIxOohc4_pred.csv
7,online_exam2_11227170_user_2x1eXL6anwZQ3IIZPiiwykDbX1u.json,2025-08-23T13:46:56+08:00,2025-08-23T13:57:19+08:00,622.542,0,success,models/best_model_7.pth,Infer_images/online_exam2_11227170_user_2x1eXL6anwZQ3IIZPiiwykDbX1u/infer.csv,predictions/online_exam2_11227170_user_2x1eXL6anwZQ3IIZPiiwykDbX1u_pred.csv
8,online_exam2_11227240_user_2wOCPJUZLfX1YpEOQMYpXufo0z3.json,2025-08-23T13:57:19+08:00,2025-08-23T14:06:16+08:00,537.063,0,success,models/best_model_8.pth,Infer_images/online_exam2_11227240_user_2wOCPJUZLfX1YpEOQMYpXufo0z3/infer.csv,predictions/online_exam2_11227240_user_2wOCPJUZLfX1YpEOQMYpXufo0z3_pred.csv
9,online_exam2_11227249_user_2wOCg2IRON9jxgk4cZcTVJ2hQpw.json,2025-08-23T14:06:16+08:00,2025-08-23T14:09:23+08:00,187.661,0,success,models/best_model_9.pth,Infer_images/online_exam2_11227249_user_2wOCg2IRON9jxgk4cZcTVJ2hQpw/infer.csv,predictions/online_exam2_11227249_user_2wOCg2IRON9jxgk4cZcTVJ2hQpw_pred.csv
10,online_exam2_11227253_user_2wOGDRY5OdrmN5IMeehgEaavp76.json,2025-08-23T14:09:23+08:00,2025-08-23T14:16:23+08:00,419.337,0,success,models/best_model_10.pth,Infer_images/online_exam2_11227253_user_2wOGDRY5OdrmN5IMeehgEaavp76/infer.csv,predictions/online_exam2_11227253_user_2wOGDRY5OdrmN5IMeehgEaavp76_pred.csv
11,online_exam3_11120125_user_2x1eJTEUaPWEQdzKxL3QmNyQl2y.json,2025-08-23T14:16:23+08:00,2025-08-23T14:24:49+08:00,506.654,0,success,models/best_model_11.pth,Infer_images/online_exam3_11120125_user_2x1eJTEUaPWEQdzKxL3QmNyQl2y/infer.csv,predictions/online_exam3_11120125_user_2x1eJTEUaPWEQdzKxL3QmNyQl2y_pred.csv
12,online_exam3_11124107_user_2wNqgnqMwUS48l5xie63msBUq6y.json,2025-08-23T14:24:49+08:00,2025-08-23T14:31:02+08:00,373.155,0,success,models/best_model_12.pth,Infer_images/online_exam3_11124107_user_2wNqgnqMwUS48l5xie63msBUq6y/infer.csv,predictions/online_exam3_11124107_user_2wNqgnqMwUS48l5xie63msBUq6y_pred.csv
13,online_exam3_11227132_user_2wNuJlqfKxrPEfinDtKY1saJzAJ.json,2025-08-23T14:31:02+08:00,2025-08-23T14:38:30+08:00,447.318,0,success,models/best_model_13.pth,Infer_images/online_exam3_11227132_user_2wNuJlqfKxrPEfinDtKY1saJzAJ/infer.csv,predictions/online_exam3_11227132_user_2wNuJlqfKxrPEfinDtKY1saJzAJ_pred.csv
14,online_exam4_11127164_user_2wNteozcl5DKR9DydgB9xQmchhR.json,2025-08-23T14:38:30+08:00,2025-08-23T14:48:26+08:00,595.793,0,success,models/best_model_14.pth,Infer_images/online_exam4_11127164_user_2wNteozcl5DKR9DydgB9xQmchhR/infer.csv,predictions/online_exam4_11127164_user_2wNteozcl5DKR9DydgB9xQmchhR_pred.csv
15,online_exam5_11027261_user_2wOEHNkaoNPdXNbHKmgezQWhkKT.json,2025-08-23T14:48:26+08:00,2025-08-23T14:53:46+08:00,320.704,0,success,models/best_model_15.pth,Infer_images/online_exam5_11027261_user_2wOEHNkaoNPdXNbHKmgezQWhkKT/infer.csv,predictions/online_exam5_11027261_user_2wOEHNkaoNPdXNbHKmgezQWhkKT_pred.csv
16,online_exam5_11227134_user_2x1eldFL11fChivMXucYVnamfhT.json,2025-08-23T14:53:46+08:00,2025-08-23T14:59:51+08:00,365.165,0,success,models/best_model_16.pth,Infer_images/online_exam5_11227134_user_2x1eldFL11fChivMXucYVnamfhT/infer.csv,predictions/online_exam5_11227134_user_2x1eldFL11fChivMXucYVnamfhT_pred.csv
17,online_exam5_11227251_user_2x1gJw6X3DAdKk8HvmqZ7wjHrku.json,2025-08-23T14:59:51+08:00,2025-08-23T15:04:29+08:00,277.854,0,success,models/best_model_17.pth,Infer_images/online_exam5_11227251_user_2x1gJw6X3DAdKk8HvmqZ7wjHrku/infer.csv,predictions/online_exam5_11227251_user_2x1gJw6X3DAdKk8HvmqZ7wjHrku_pred.csv
18,online_exam5_11227253_user_2wOEHNkaoNPdXNbHKmgezQWhkKT.json,2025-08-23T15:04:29+08:00,2025-08-23T15:15:50+08:00,681.143,0,success,models/best_model_18.pth,Infer_images/online_exam5_11227253_user_2wOEHNkaoNPdXNbHKmgezQWhkKT/infer.csv,predictions/online_exam5_11227253_user_2wOEHNkaoNPdXNbHKmgezQWhkKT_pred.csv
19,online_test4_11377005_user_2vt9vAdjkpf200pm0RmM8pq2lZt.json,2025-08-23T15:15:50+08:00,2025-08-23T15:21:57+08:00,366.435,0,success,models/best_model_19.pth,Infer_images/online_test4_11377005_user_2vt9vAdjkpf200pm0RmM8pq2lZt/infer.csv,predictions/online_test4_11377005_user_2vt9vAdjkpf200pm0RmM8pq2lZt_pred.csv
20,online_test4_11377009_user_2w1MjpWogJP6YKlvXIXjUj2Orpa.json,2025-08-23T15:21:57+08:00,2025-08-23T15:26:23+08:00,266.195,0,success,models/best_model_20.pth,Infer_images/online_test4_11377009_user_2w1MjpWogJP6YKlvXIXjUj2Orpa/infer.csv,predictions/online_test4_11377009_user_2w1MjpWogJP6YKlvXIXjUj2Orpa_pred.csv
21,online_test4_11377034_user_2isVlxzxXqw8ALMYICvsTChJhrO.json,2025-08-23T15:26:23+08:00,2025-08-23T15:30:07+08:00,223.680,0,success,models/best_model_21.pth,Infer_images/online_test4_11377034_user_2isVlxzxXqw8ALMYICvsTChJhrO/infer.csv,predictions/online_test4_11377034_user_2isVlxzxXqw8ALMYICvsTChJhrO_pred.csv
